"meter_id","name","kec_name","des_name","log_time","power_usage","capacity","bulan","h","m","s"
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-29 02:10:35.000,0.12651438083788032970,0.9,8,2,10,35.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-16 18:30:27.000,0.27865336193229506772,0.9,8,18,30,27.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-16 15:31:44.000,0.32423159399571121489,0.9,8,15,31,44.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-16 13:35:09.000,0.07509244334881957012,0.9,8,13,35,9.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-16 07:43:35.000,0.21315570358034970858,0.9,8,7,43,35.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-16 04:43:26.000,0.12323064113238967527,0.9,8,4,43,26.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-16 01:43:17.000,0.12989175686927560366,0.9,8,1,43,17.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-22 22:58:25.000,0.04898188983766538389,0.9,8,22,58,25.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-22 17:03:11.000,0.13291139240506329114,0.9,8,17,3,11.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-22 16:31:35.000,0.18644224544529732798,0.9,8,16,31,35.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-22 13:31:22.000,0.11323896752706078268,0.9,8,13,31,22.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-22 10:31:13.000,0.14321398834304746045,0.9,8,10,31,13.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-22 07:31:04.000,0.11322849213691026743,0.9,8,7,31,4.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-22 04:30:54.000,0.03330557868442964197,0.9,8,4,30,54.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-22 01:30:45.000,0.03330557868442964197,0.9,8,1,30,45.000000
24,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-30 23:11:08.000,0.18652849740932642625,0.9,8,23,11,8.000000
